#Experiment	Perturbations	PerturbationLevels	Treatment	DeletedGenes	OverexpressedGenes	Time	Repeat
46	P3	NA	NA	NA	NA	0.03	5
46	P3	NA	NA	NA	NA	0.17	1
46	P3	NA	NA	NA	NA	0.17	2
46	P3	NA	NA	NA	NA	0.17	3
46	P3	NA	NA	NA	NA	0.17	4
46	P3	NA	NA	NA	NA	0.17	5
46	P3	NA	NA	NA	NA	0.33	1
46	P3	NA	NA	NA	NA	0.33	2
46	P3	NA	NA	NA	NA	0.33	3
46	P3	NA	NA	NA	NA	0.33	4
46	P3	NA	NA	NA	NA	0.33	5
47	NA	NA	NA	NA	NA	5.00	1
47	NA	NA	NA	NA	NA	6.00	1
47	NA	NA	NA	NA	NA	7.00	1
47	NA	NA	NA	NA	NA	8.00	1
47	NA	NA	NA	NA	NA	9.00	1
47	NA	NA	NA	NA	NA	10.00	1
47	NA	NA	NA	NA	NA	11.00	1
47	NA	NA	NA	NA	NA	12.00	1
47	NA	NA	NA	NA	NA	16.00	1
47	P13	NA	NA	NA	NA	5.00	1
47	P13	NA	NA	NA	NA	6.00	1
47	P13	NA	NA	NA	NA	7.00	1
47	P13	NA	NA	NA	NA	8.00	1
47	P13	NA	NA	NA	NA	9.00	1
47	P13	NA	NA	NA	NA	10.00	1
47	P13	NA	NA	NA	NA	11.00	1
47	P13	NA	NA	NA	NA	12.00	1
47	P13	NA	NA	NA	NA	16.00	1
48	NA	NA	NA	NA	NA	1.00	1
48	NA	NA	NA	NA	NA	2.00	1
48	P14	NA	NA	NA	NA	1.00	1
48	P14	NA	NA	NA	NA	2.00	1
48	P4	1.00	NA	NA	NA	1.00	1
48	P4	1.00	NA	NA	NA	2.00	1
48	P4,P15	1.00,1.00	NA	NA	NA	1.00	1
48	P4,P15	1.00,1.00	NA	NA	NA	2.00	1
48	P4,P15	1.00,1.00	1	NA	NA	1.00	1
48	P4,P15	1.00,1.00	1	NA	NA	2.00	1
48	P15	1.00	NA	NA	NA	0.00	1
48	P15	1.00	NA	NA	NA	1.00	1
48	P15	1.00	NA	NA	NA	2.00	1
49	NA	NA	NA	NA	NA	0.00	1
49	NA	NA	NA	NA	NA	1.00	1
49	NA	NA	NA	NA	NA	2.00	1
49	NA	NA	NA	NA	NA	3.00	1
49	NA	NA	NA	NA	NA	4.00	1
49	P16	1.00	NA	NA	NA	1.00	1
49	P16	1.00	NA	NA	NA	2.00	1
49	P16	1.00	NA	NA	NA	3.00	1
49	P16	1.00	NA	NA	NA	4.00	1
49	P17	NA	NA	NA	NA	1.00	1
49	P17	NA	NA	NA	NA	2.00	1
49	P17	NA	NA	NA	NA	3.00	1
49	P17	NA	NA	NA	NA	4.00	1
50	NA	NA	NA	NA	NA	0.80	1
50	NA	NA	NA	NA	NA	0.80	2
50	NA	NA	NA	NA	NA	0.80	3
50	NA	NA	NA	NA	NA	2.00	1
50	NA	NA	NA	NA	NA	2.00	2
50	NA	NA	NA	NA	NA	2.00	3
50	P8	0.10	NA	NA	NA	0.00	1
50	P8	0.10	NA	NA	NA	0.00	2
50	P8	0.10	NA	NA	NA	0.00	3
50	P8	0.10	NA	NA	NA	0.40	1
50	P8	0.10	NA	NA	NA	0.40	2
50	P8	0.10	NA	NA	NA	0.40	3
50	P8	0.10	NA	NA	NA	0.80	1
50	P8	0.10	NA	NA	NA	0.80	2
50	P8	0.10	NA	NA	NA	0.80	3
50	P8	0.10	NA	NA	NA	1.20	1
50	P8	0.10	NA	NA	NA	1.20	2
50	P8	0.10	NA	NA	NA	1.20	3
50	P8	0.10	NA	NA	NA	1.60	1
50	P8	0.10	NA	NA	NA	1.60	2
50	P8	0.10	NA	NA	NA	1.60	3
50	P8	0.10	NA	NA	NA	2.00	1
50	P8	0.10	NA	NA	NA	2.00	2
50	P8	0.10	NA	NA	NA	2.00	3
51	NA	NA	NA	NA	NA	0.00	1
51	P18	0.08	NA	NA	NA	1.00	1
51	P18	0.08	NA	NA	NA	2.00	1
51	P18	0.08	NA	NA	NA	4.00	1
51	P18	1.00	NA	NA	NA	1.00	1
51	P18	1.00	NA	NA	NA	2.00	1
51	P18	1.00	NA	NA	NA	4.00	1
52	NA	NA	NA	NA	NA	14.00	1
52	NA	NA	NA	NA	NA	30.00	1
52	NA	NA	NA	NA	NA	48.00	1
52	P1	NA	NA	NA	NA	14.00	1
52	P1	NA	NA	NA	NA	30.00	1
52	P1	NA	NA	NA	NA	48.00	1
53	NA	NA	NA	NA	NA	0.00	1
53	NA	NA	NA	NA	NA	0.00	2
53	NA	NA	NA	NA	NA	0.00	3
53	NA	NA	NA	NA	NA	2.00	1
53	NA	NA	NA	NA	NA	2.00	2
53	NA	NA	NA	NA	NA	2.00	3
53	NA	NA	NA	NA	NA	8.00	1
53	NA	NA	NA	NA	NA	8.00	2
53	NA	NA	NA	NA	NA	8.00	3
53	P19	NA	NA	NA	NA	0.00	1
53	P19	NA	NA	NA	NA	0.00	2
53	P19	NA	NA	NA	NA	0.00	3
53	P19	NA	NA	NA	NA	2.00	1
53	P19	NA	NA	NA	NA	2.00	2
53	P19	NA	NA	NA	NA	2.00	3
53	P19	NA	NA	NA	NA	8.00	1
53	P19	NA	NA	NA	NA	8.00	2
53	P19	NA	NA	NA	NA	8.00	3
53	P20	NA	NA	NA	NA	2.00	1
53	P20	NA	NA	NA	NA	2.00	2
53	P20	NA	NA	NA	NA	2.00	3
53	P20	NA	NA	NA	NA	8.00	1
53	P20	NA	NA	NA	NA	8.00	2
53	P20	NA	NA	NA	NA	8.00	3
53	P19,P20	NA	NA	NA	NA	2.00	1
53	P19,P20	NA	NA	NA	NA	2.00	2
53	P19,P20	NA	NA	NA	NA	2.00	3
53	P19,P20	NA	NA	NA	NA	8.00	1
53	P19,P20	NA	NA	NA	NA	8.00	2
53	P19,P20	NA	NA	NA	NA	8.00	3
54	NA	NA	NA	NA	NA	0.00	1
54	P10	1.00	NA	NA	NA	1.00	1
54	P10	1.00	NA	NA	NA	2.00	1
54	P21	1.00	NA	NA	NA	1.00	1
54	P21	1.00	NA	NA	NA	2.00	1
54	P22	1.00	NA	NA	NA	1.00	1
54	P22	1.00	NA	NA	NA	2.00	1
54	P21,P10	1.00,1.00	NA	NA	NA	1.00	1
54	P21,P10	1.00,1.00	NA	NA	NA	2.00	1
54	P22,P10	1.00,1.00	NA	NA	NA	1.00	1
54	P22,P10	1.00,1.00	NA	NA	NA	2.00	1
55	NA	NA	NA	NA	NA	0.00	1
55	P23	NA	NA	NA	NA	12.00	1
55	P23	NA	NA	NA	NA	14.00	1
55	P23	NA	NA	NA	NA	16.00	1
55	P24	NA	NA	NA	NA	0.00	1
55	P24	NA	NA	NA	NA	2.00	1
55	P24	NA	NA	NA	NA	4.00	1
55	P24	NA	NA	NA	NA	6.00	1
55	P24	NA	NA	NA	NA	12.00	1
55	P24	NA	NA	NA	NA	14.00	1
55	P24	NA	NA	NA	NA	16.00	1
56	NA	NA	NA	NA	NA	0.00	1
56	P12	1.00	NA	NA	NA	1.00	1
56	P12	1.00	NA	NA	NA	2.00	1
56	P10	1.00	NA	NA	NA	1.00	1
56	P10	1.00	NA	NA	NA	2.00	1
56	P12,P10	1.00,1.00	NA	NA	NA	1.00	1
56	P12,P10	1.00,1.00	NA	NA	NA	2.00	1
57	NA	NA	NA	NA	NA	0.00	1
57	NA	NA	NA	NA	NA	0.00	2
57	NA	NA	NA	NA	NA	0.00	3
57	NA	NA	NA	NA	NA	0.17	1
57	NA	NA	NA	NA	NA	0.17	2
57	NA	NA	NA	NA	NA	0.67	1
57	NA	NA	NA	NA	NA	0.67	2
57	NA	NA	NA	NA	NA	0.67	3
57	NA	NA	NA	NA	NA	1.33	1
57	NA	NA	NA	NA	NA	1.33	2
57	NA	NA	NA	NA	NA	1.33	3
57	NA	NA	NA	NA	NA	1.33	4
57	P25	1.00	NA	NA	NA	0.00	1
57	P25	1.00	NA	NA	NA	0.00	2
57	P25	1.00	NA	NA	NA	0.17	1
57	P25	1.00	NA	NA	NA	0.17	2
57	P25	1.00	NA	NA	NA	0.67	1
57	P25	1.00	NA	NA	NA	0.67	2
57	P25	1.00	NA	NA	NA	1.33	1
57	P25	1.00	NA	NA	NA	1.33	2
57	P25	1.00	NA	NA	NA	1.33	3
57	P26	0.33	NA	NA	NA	0.00	1
57	P26	0.33	NA	NA	NA	0.00	2
57	P26	0.33	NA	NA	NA	0.17	1
57	P26	0.33	NA	NA	NA	0.17	2
57	P26	0.33	NA	NA	NA	0.67	1
57	P26	0.33	NA	NA	NA	0.67	2
57	P26	0.33	NA	NA	NA	1.33	1
57	P26	0.33	NA	NA	NA	1.33	2
57	P26	0.33	NA	NA	NA	1.33	3
57	P26,P25	1.00,1.00	NA	NA	NA	0.00	1
57	P26,P25	1.00,1.00	NA	NA	NA	0.00	2
57	P26,P25	1.00,1.00	NA	NA	NA	0.00	3
57	P26,P25	1.00,1.00	NA	NA	NA	0.17	1
57	P26,P25	1.00,1.00	NA	NA	NA	0.17	2
57	P26,P25	1.00,1.00	NA	NA	NA	0.17	3
57	P26,P25	1.00,1.00	NA	NA	NA	0.67	1
57	P26,P25	1.00,1.00	NA	NA	NA	0.67	2
57	P26,P25	1.00,1.00	NA	NA	NA	0.67	3
57	P26,P25	1.00,1.00	NA	NA	NA	1.33	1
57	P26,P25	1.00,1.00	NA	NA	NA	1.33	2
57	P26,P25	1.00,1.00	NA	NA	NA	1.33	3
57	P26,P25	1.00,1.00	NA	NA	NA	1.33	4
58	NA	NA	NA	NA	NA	0.00	1
58	NA	NA	NA	NA	NA	0.00	2
58	NA	NA	NA	NA	NA	0.00	3
58	NA	NA	NA	NA	NA	2.00	1
58	NA	NA	NA	NA	NA	2.00	2
58	NA	NA	NA	NA	NA	2.00	3
58	NA	NA	NA	NA	NA	8.00	1
58	NA	NA	NA	NA	NA	8.00	2
58	NA	NA	NA	NA	NA	8.00	3
58	P20	NA	NA	NA	NA	2.00	1
58	P20	NA	NA	NA	NA	2.00	2
58	P20	NA	NA	NA	NA	2.00	3
58	P20	NA	NA	NA	NA	8.00	1
58	P20	NA	NA	NA	NA	8.00	2
58	P20	NA	NA	NA	NA	8.00	3
58	P19	NA	NA	NA	NA	0.00	1
58	P19	NA	NA	NA	NA	0.00	2
58	P19	NA	NA	NA	NA	0.00	3
58	P19	NA	NA	NA	NA	0.00	4
58	P19	NA	NA	NA	NA	0.00	5
58	P19	NA	NA	NA	NA	2.00	1
58	P19	NA	NA	NA	NA	2.00	2
58	P19	NA	NA	NA	NA	2.00	3
58	P19	NA	NA	NA	NA	8.00	1
58	P19	NA	NA	NA	NA	8.00	2
58	P19	NA	NA	NA	NA	8.00	3
58	P19,P20	NA	NA	NA	NA	2.00	1
58	P19,P20	NA	NA	NA	NA	2.00	2
58	P19,P20	NA	NA	NA	NA	2.00	3
58	P19,P20	NA	NA	NA	NA	8.00	1
58	P19,P20	NA	NA	NA	NA	8.00	2
58	P19,P20	NA	NA	NA	NA	8.00	3
59	NA	NA	NA	NA	NA	2.00	1
59	NA	NA	NA	NA	NA	6.00	1
59	P27	NA	NA	NA	NA	0.00	1
59	P27	NA	NA	NA	NA	2.00	1
59	P27	NA	NA	NA	NA	6.00	1
59	P28	NA	NA	NA	NA	0.00	1
59	P28	NA	NA	NA	NA	2.00	1
59	P28	NA	NA	NA	NA	6.00	1
60	P9	NA	NA	NA	NA	0.00	1
60	P9	NA	NA	NA	NA	1.00	1
60	P9	NA	NA	NA	NA	2.00	1
60	P9	NA	NA	NA	NA	4.00	1
61	NA	NA	NA	NA	NA	0.00	1
61	NA	NA	NA	NA	NA	1.00	1
61	NA	NA	NA	NA	NA	2.00	1
61	NA	NA	NA	NA	NA	4.00	1
61	P12	1.00	NA	NA	NA	1.00	1
61	P12	1.00	NA	NA	NA	2.00	1
61	P12	1.00	NA	NA	NA	4.00	1
61	P29	1.00	NA	NA	NA	1.00	1
61	P29	1.00	NA	NA	NA	2.00	1
61	P29	1.00	NA	NA	NA	4.00	1
61	P8	1.00	NA	NA	NA	1.00	1
61	P8	1.00	NA	NA	NA	2.00	1
61	P8	1.00	NA	NA	NA	4.00	1
61	P11	0.01	NA	NA	NA	1.00	1
61	P11	0.01	NA	NA	NA	2.00	1
61	P11	0.01	NA	NA	NA	4.00	1
62	NA	NA	NA	NA	NA	0.00	1
62	NA	NA	NA	NA	NA	0.33	1
62	P12	1.00	NA	NA	NA	0.33	1
62	P10	1.00	NA	NA	NA	0.33	1
62	P8	1.00	NA	NA	NA	0.33	1
62	P11	1.00	NA	NA	NA	0.33	1
62	P18	0.08	NA	NA	NA	0.33	1
62	P18	1.00	NA	NA	NA	0.33	1
63	NA	NA	NA	NA	NA	0.00	1
63	NA	NA	NA	NA	NA	0.00	2
63	NA	NA	NA	NA	NA	2.00	1
63	NA	NA	NA	NA	NA	2.00	2
63	NA	NA	NA	NA	NA	3.67	1
63	NA	NA	NA	NA	NA	3.67	2
63	NA	NA	NA	NA	NA	6.00	1
63	NA	NA	NA	NA	NA	6.00	2
63	P30	NA	NA	NA	NA	0.00	1
63	P30	NA	NA	NA	NA	0.00	2
63	P30	NA	NA	NA	NA	2.00	1
63	P30	NA	NA	NA	NA	2.00	2
63	P30	NA	NA	NA	NA	3.67	1
63	P30	NA	NA	NA	NA	3.67	2
63	P30	NA	NA	NA	NA	6.00	1
63	P30	NA	NA	NA	NA	6.00	2
63	P31	NA	NA	NA	NA	0.00	1
63	P31	NA	NA	NA	NA	0.00	2
63	P31	NA	NA	NA	NA	2.00	1
63	P31	NA	NA	NA	NA	2.00	2
63	P31	NA	NA	NA	NA	3.67	1
63	P31	NA	NA	NA	NA	3.67	2
63	P31	NA	NA	NA	NA	6.00	1
63	P31	NA	NA	NA	NA	6.00	2
64	NA	NA	NA	NA	NA	NA	1
64	NA	NA	NA	NA	NA	NA	2
64	NA	NA	NA	NA	NA	NA	3
64	NA	NA	NA	G319	NA	NA	1
64	NA	NA	NA	G319	NA	NA	2
64	NA	NA	NA	G319	NA	NA	3
64	NA	NA	NA	G313	NA	NA	1
64	NA	NA	NA	G313	NA	NA	2
64	NA	NA	NA	G313	NA	NA	3
64	NA	NA	NA	G92	NA	NA	1
64	NA	NA	NA	G92	NA	NA	2
64	NA	NA	NA	G92	NA	NA	3
64	NA	NA	NA	G313,G92	NA	NA	1
64	NA	NA	NA	G313,G92	NA	NA	2
64	NA	NA	NA	G313,G92	NA	NA	3
64	NA	NA	NA	G235	NA	NA	1
64	NA	NA	NA	G235	NA	NA	2
64	NA	NA	NA	G235	NA	NA	3
64	NA	NA	NA	G309	NA	NA	1
64	NA	NA	NA	G309	NA	NA	2
64	NA	NA	NA	G309	NA	NA	3
65	NA	NA	NA	NA	NA	NA	1
65	NA	NA	NA	G183,G113	NA	NA	1
66	NA	NA	NA	NA	NA	NA	1
66	NA	NA	NA	NA	NA	NA	2
66	NA	NA	NA	NA	NA	NA	3
66	NA	NA	NA	G316	NA	NA	1
66	NA	NA	NA	G316	NA	NA	2
66	NA	NA	NA	G316	NA	NA	3
67	NA	NA	NA	NA	NA	NA	1
67	NA	NA	NA	NA	NA	NA	2
67	NA	NA	NA	G2291	NA	NA	1
67	NA	NA	NA	G2879	NA	NA	1
68	NA	NA	NA	NA	NA	NA	1
68	NA	NA	NA	NA	NA	NA	2
68	NA	NA	NA	G42	NA	NA	1
68	NA	NA	NA	G42	NA	NA	2
69	NA	NA	NA	NA	NA	NA	1
69	NA	NA	NA	NA	NA	NA	2
69	NA	NA	NA	NA	NA	NA	3
69	NA	NA	NA	NA	NA	NA	4
69	NA	NA	NA	NA	NA	NA	5
69	NA	NA	NA	G55	NA	NA	1
69	NA	NA	NA	G55	NA	NA	2
69	NA	NA	NA	G55	NA	NA	3
69	NA	NA	NA	G7	NA	NA	1
69	NA	NA	NA	G281	NA	NA	1
69	NA	NA	NA	G281	NA	NA	2
69	NA	NA	NA	G281	NA	NA	3
69	NA	NA	NA	G113	NA	NA	1
70	NA	NA	NA	NA	NA	NA	1
70	NA	NA	NA	G41	NA	NA	1
71	NA	NA	NA	NA	NA	NA	1
71	NA	NA	NA	NA	NA	NA	2
71	NA	NA	NA	G183	NA	NA	1
71	NA	NA	NA	G113	NA	NA	1
71	NA	NA	NA	G316	NA	NA	1
71	NA	NA	NA	G183,G113	NA	NA	1
71	NA	NA	NA	G183,G113	NA	NA	2
72	NA	NA	NA	NA	NA	NA	1
72	NA	NA	NA	G2879	NA	NA	1
72	NA	NA	NA	G3862	NA	NA	1
72	NA	NA	NA	G95,G3862	NA	NA	1
73	NA	NA	NA	NA	NA	NA	1
73	NA	NA	NA	NA	NA	NA	2
73	NA	NA	NA	NA	NA	NA	3
73	NA	NA	NA	G316	NA	NA	1
73	NA	NA	NA	G316	NA	NA	2
73	NA	NA	NA	G316	NA	NA	3
74	NA	NA	NA	NA	NA	NA	1
74	NA	NA	NA	G1704	NA	NA	1
74	NA	NA	NA	G95	NA	NA	1
74	NA	NA	NA	G3638	NA	NA	1
74	NA	NA	NA	G31	NA	NA	1
74	NA	NA	NA	G3266	NA	NA	1
74	NA	NA	NA	G3238	NA	NA	1
74	NA	NA	NA	G3512	NA	NA	1
74	NA	NA	NA	G308	NA	NA	1
74	NA	NA	NA	G1	NA	NA	1
74	NA	NA	NA	NA	G95	NA	1
74	NA	NA	NA	NA	G3638	NA	1
74	NA	NA	NA	NA	G3266	NA	1
74	NA	NA	NA	NA	G3238	NA	1
74	NA	NA	NA	NA	G1	NA	1
75	NA	NA	NA	G73	NA	NA	1
75	NA	NA	NA	G73	NA	NA	2
75	NA	NA	NA	G73	NA	NA	3
75	NA	NA	NA	G73,G3800,G2325	NA	NA	1
75	NA	NA	NA	G73,G3800,G2325	NA	NA	2
75	NA	NA	NA	G73,G3800,G2325	NA	NA	3
76	NA	NA	NA	G92	NA	NA	1
76	NA	NA	NA	G92	NA	NA	2
76	NA	NA	NA	G92	NA	NA	3
77	NA	NA	NA	NA	NA	NA	1
77	NA	NA	NA	NA	NA	NA	2
77	NA	NA	NA	NA	NA	NA	3
77	NA	NA	NA	G316	NA	NA	1
77	NA	NA	NA	G316	NA	NA	2
77	NA	NA	NA	G316	NA	NA	3
78	NA	NA	NA	NA	NA	NA	1
78	NA	NA	NA	G1891	NA	NA	1
79	NA	NA	NA	NA	NA	NA	1
79	NA	NA	NA	NA	NA	NA	2
79	NA	NA	NA	NA	NA	NA	3
79	NA	NA	NA	G92	NA	NA	1
79	NA	NA	NA	G92	NA	NA	2
79	NA	NA	NA	G92	NA	NA	3
79	NA	NA	NA	G92	NA	NA	4
80	NA	NA	NA	NA	NA	NA	1
80	NA	NA	NA	G183,G113	NA	NA	1
81	NA	NA	NA	NA	NA	NA	1
81	NA	NA	NA	G183,G113	NA	NA	1
82	NA	NA	NA	NA	NA	NA	1
82	NA	NA	NA	NA	NA	NA	2
82	NA	NA	NA	NA	NA	NA	3
82	NA	NA	NA	G2388	NA	NA	1
82	NA	NA	NA	NA	G2388	NA	1
82	NA	NA	NA	G203	G2388	NA	1
82	NA	NA	NA	G316	G2388	NA	1
83	NA	NA	NA	NA	NA	NA	1
83	NA	NA	NA	G2129	NA	NA	1
84	NA	NA	NA	NA	NA	NA	1
84	NA	NA	NA	NA	NA	NA	2
84	NA	NA	NA	G42	NA	NA	1
85	NA	NA	NA	NA	G2984	NA	1
85	NA	NA	NA	NA	G2984	NA	2
86	NA	NA	NA	G319	NA	NA	1
86	NA	NA	NA	G319	NA	NA	2
86	NA	NA	NA	G319	NA	NA	3
86	NA	NA	NA	G313	NA	NA	1
86	NA	NA	NA	G313	NA	NA	2
