Peptide,condition,0min_1,0min_2,0min_3,0min_4,12min_1,12min_2,12min_3,12min_4,18min_1,18min_2,18min_3,18min_4,24min_1,24min_2,24min_3,24min_4,30min_1,30min_2,30min_3,30min_4,36min_1,36min_2,36min_3,36min_4,42min_1,42min_2,42min_3,42min_4,48min_1,48min_2,48min_3,48min_4,54min_1,54min_2,54min_3,54min_4,60min_1,60min_2,60min_3,60min_4,6min_1,6min_2,6min_3,6min_4
Glyma.01G121400.1_S382_1,Control,24.54652606,25.21487113,24.71765863,24.7744586,24.65815895,24.57292115,24.94821208,24.69742743,24.641096,24.61588638,24.67270722,24.99755333,23.94606085,24.88537997,24.60906857,24.59566511,24.14069513,24.35301055,24.45611417,24.53481412,24.18695831,24.71549994,24.89640424,24.80749254,23.98568436,24.37039773,24.69167959,24.84894126,24.23907983,24.54245055,24.36001758,24.87308603,24.08542327,24.82845888,24.54076443,24.80353045,24.49625834,24.49761027,24.66495668,24.82933706,24.1502353,24.66408039,24.92365348,25.07568512
Glyma.01G205400.1_S84_1,Control,29.01311562,29.29347343,27.63861249,0,28.35629443,28.24832169,28.09575949,0,28.5976108,28.91553069,27.67353211,0,28.42953863,29.27832158,28.01785467,0,29.05322758,28.07242383,28.13410005,0,28.42958988,28.14063183,27.74406416,0,28.11450629,27.89212904,27.77850928,0,28.47051881,29.08098434,27.44443907,0,28.14992582,28.69599523,26.81037361,0,27.95455273,28.84095644,27.54585318,0,28.71347697,28.14062795,27.91356596,0
Glyma.01G209200.1_S1368_1,Control,24.73768753,25.1312584,25.1826334,0,24.6479143,24.6349423,25.56809714,0,24.44149535,24.7603302,25.13068923,0,24.30009373,24.39688823,24.11782852,0,24.51664179,24.64182411,24.52936344,0,23.99050816,24.29718084,24.96096789,0,24.64429962,24.38495044,24.5867761,0,24.35664771,24.34391103,24.62503532,0,24.22377446,24.01036312,25.10816743,0,24.69371242,24.7585493,24.43312023,0,24.73721229,24.37166507,24.96327673,0
Glyma.01G214700.1_S233_1,Control,26.77392864,26.60830974,24.41044431,26.81598112,26.85945017,26.96552757,25.28961281,26.95172883,26.72587366,26.18339568,25.89296393,27.46794637,27.10369983,26.57926996,25.21811373,26.80602383,27.02525557,27.20950602,25.10983777,27.34893318,26.83641407,27.14694175,24.30464871,26.97262733,27.17033214,26.91590995,25.12930334,26.71688582,26.97546452,26.86825334,25.10609321,26.72340851,27.20451949,26.30730467,25.08653758,27.20408386,27.07711017,26.80008361,25.12165437,27.10966445,26.91286805,26.6661426,24.74126179,26.78210088
Glyma.01G230700.1_S12_1,Control,24.71432028,24.34211369,24.84694974,0,24.87087236,24.40429614,24.99799766,0,24.65282041,24.58495332,25.71741057,0,25.22865571,24.64273816,24.88195452,0,25.20591421,25.0941275,24.6554022,0,24.46347173,24.66531103,24.63394985,0,24.62213473,25.07556661,25.03869295,0,24.75355218,24.49495153,24.50055162,0,24.1966006,24.78508208,24.42362932,0,24.56831535,24.78637127,24.59262017,0,24.82396799,24.41679319,24.97180895,0
Glyma.01G232600.1_T196_1,Control,23.61461052,24.20708895,24.1648406,24.05518078,23.86219708,23.99315161,23.80677716,23.86909204,24.36667096,24.11810157,24.3987312,23.84705443,23.68480339,24.07213983,23.73810383,23.25676933,23.76980251,24.26649599,23.74333756,24.06838745,23.88744988,23.96540279,23.68338654,23.89303186,23.86946489,24.28298705,24.20316757,23.86649429,23.54776678,24.50101807,23.79362815,23.67163823,23.22537751,23.72562084,23.99764814,23.95697003,23.73654575,24.36506591,23.86927246,24.27748055,23.6183961,24.0187179,23.54463915,23.98219636
Glyma.02G000200.1_T439_1,Control,22.43356622,25.19406122,25.36532072,24.05878917,24.53248367,24.7878625,25.43062416,24.40213337,23.91349299,24.8372423,24.93182062,24.45021246,24.17373839,24.14129845,24.99199489,24.38575577,24.08856117,24.52147938,23.97237892,24.8104763,24.56439658,24.57916886,25.3512979,24.49804295,24.35184907,25.34942654,24.12883311,24.38108758,21.4801557,24.80412149,25.64013771,25.24603736,24.0192573,25.05228205,25.9789674,25.01902233,24.07904793,25.3587443,25.69834464,24.82548987,23.13796144,24.2877873,24.7897967,24.20952974
Glyma.02G000400.1_S619_1,Control,23.42439239,23.71977943,24.003194,22.50112062,23.13864497,23.63025331,24.94855344,22.15470822,23.73465722,24.31029071,24.77718224,23.09383922,22.73577888,24.66259595,24.40528324,0,23.07393916,24.27111307,24.01434884,23.12754165,23.81293532,22.85944784,24.2704667,23.26538219,24.08050031,22.83495523,26.2307309,24.65410607,23.80872941,24.15027393,23.99420966,23.77398929,23.39981711,23.4582445,25.78340624,23.86240723,22.98018329,22.58007136,25.6223255,23.75091991,22.68593021,25.04979689,24.65360236,23.02172473
Glyma.02G022800.1_S302_1,Control,26.01095406,26.05682791,26.26662538,0,26.05822671,26.00220917,26.1919717,0,24.90738648,25.64207617,26.22275495,0,26.34060191,24.92185943,25.05152187,0,26.20327885,26.62959149,25.94438703,0,25.30508555,25.27875021,25.3685475,0,26.24145578,26.25625771,25.39424841,0,25.78748667,25.42487368,25.78993261,0,26.7155325,24.9296733,25.27153637,0,26.1856876,26.31867541,25.51900556,0,26.2362585,24.81783655,25.57057385,0
Glyma.02G039400.1_S394_1,Control,23.28367415,23.72851914,23.89804757,0,23.41704851,23.78538157,24.45001189,0,22.90088245,23.85662502,24.48835766,0,23.14956947,23.82178003,24.0271422,0,23.16122591,23.99301177,23.66321109,0,23.19528252,23.83762388,23.9672581,0,23.46429086,23.75935217,24.90744365,0,23.23189529,23.60118904,24.3090725,0,23.83896432,23.52248908,24.77360497,0,23.95812141,23.93696843,24.2089782,0,23.36492959,24.05243613,23.98419451,0
Glyma.02G044000.1_T156_1,Control,25.46059753,25.20893661,25.1660175,0,25.7690966,25.74169839,24.70377431,0,25.2644741,25.48261871,24.49264443,0,25.78262368,24.01551368,24.30090797,0,25.62442386,25.88584572,25.6029395,0,25.38532175,24.95135268,24.38885844,0,25.60116103,25.93144467,23.72285957,0,25.15418031,25.23053676,25.03246192,0,25.74623881,24.78197343,24.18910064,0,25.84181258,25.73152638,24.35767041,0,25.71894932,25.26387474,24.41677324,0
Glyma.02G082800.1_S99_1,Control,21.70519339,25.55153761,25.48982662,0,23.87751033,24.73018788,25.58348228,0,23.72289885,25.07895756,24.79747793,0,22.92833493,25.77967098,24.73433871,0,23.40642434,24.41083085,24.31654177,0,24.58106477,24.95446818,25.55816684,0,23.82971004,24.9016657,25.64853754,0,21.97046347,25.13203648,24.70040938,0,23.61525657,25.00616444,25.71456881,0,24.1022565,25.35027216,26.13439437,0,23.48350285,24.7237097,25.0448477,0
Glyma.02G101800.1_S916_1,Control,22.87545746,23.44067846,23.57693167,23.96239452,23.25185892,23.31879769,23.60437585,24.43775965,22.57571459,23.44635051,23.09182112,21.15636828,22.8555552,22.75287255,23.00720176,23.78054855,22.04055673,23.72418123,23.69576785,0,22.29946571,23.02436025,23.1926143,24.046559,23.05519646,23.51218337,22.67148108,0,22.1752025,23.23903089,23.70788153,24.00554968,23.36688574,22.63749116,23.40168264,23.8048684,23.11472914,23.15226093,0,23.80939851,22.84254363,22.62344227,22.95821966,23.55227638
Glyma.02G109400.1_S82_1,Control,23.02091709,23.78491033,23.39488047,23.61681475,23.58647526,23.7301172,24.11764861,23.41036271,0,23.77880881,23.60991067,23.71789187,22.68721018,24.42427067,23.40281022,23.70789477,22.76375628,23.85584274,24.07441301,24.05431274,23.31437194,23.14738095,23.80973227,24.92421732,23.17094045,23.72101038,24.25502227,24.73404496,23.14262795,23.53194082,23.55042813,23.97702991,23.13893903,23.73781128,23.70116195,24.04171776,23.34980746,23.4864909,24.16543631,24.34487781,23.15817473,23.81665266,24.75166664,23.70714884
Glyma.02G115400.1_S393_1,Control,29.20098924,29.0772459,28.75077238,0,28.6217426,28.93813704,27.94149659,0,29.05642893,28.75837631,29.28829509,0,28.72500051,28.1456472,28.67153351,0,29.00303019,28.98716674,27.68796536,0,29.02129311,29.30405506,28.79940443,0,28.49497964,29.26317883,29.3224743,0,28.84106556,29.34073586,28.40240882,0,29.39098803,29.09315707,28.95374742,0,28.48008252,28.27016819,28.50511862,0,29.35359884,29.55761398,29.74710548,0
Glyma.02G144400.1_S63_1,Control,24.33693058,24.82642236,25.05691283,24.96675293,24.47939799,24.62600495,24.97426292,24.30167156,24.47952402,24.85919779,25.50154673,25.72713725,24.43483863,24.61027592,24.60996222,24.87184785,24.32908997,24.78683123,24.62922751,24.90279311,23.94002214,25.07057335,24.80457057,24.8475183,24.03252116,24.7103963,25.49962566,24.96799619,24.30379417,25.3302019,24.50575527,24.57671231,24.66114687,24.73529623,24.35621558,24.65268542,24.44152983,24.77628741,24.46073519,25.0868379,24.32663875,25.10179057,25.27761979,25.15223103
Glyma.02G195600.1_S1833_1,Control,24.61105177,23.30143492,23.75310059,24.20318125,24.11263771,23.50547286,23.57416582,23.90632898,23.11008889,23.14982346,23.06282059,0,24.56326979,22.57227261,23.26402731,0,24.74274431,23.27884498,23.11318432,23.80016238,23.7004733,23.25943112,23.21574154,23.49358661,24.10396038,23.23037962,22.93621491,23.7182516,24.41676911,22.82107299,22.76442322,0,23.80573982,23.73145715,22.43829062,23.5353298,24.22048251,23.38002167,22.89174289,23.81940223,24.61146288,23.13690245,23.36033254,24.16543992
Glyma.02G203700.1_S2_1,Control,27.47109195,28.19399263,26.8305405,0,27.12082944,27.42401729,26.6655857,0,28.29867959,27.52014465,27.40932536,0,27.04995657,28.98649046,27.31741496,0,28.0578506,27.28637156,26.16044331,0,27.51059653,27.80276066,27.63971101,0,26.8496844,27.4610041,28.46615172,0,27.98104466,28.51066752,26.94304022,0,27.15119141,28.6514643,26.9975576,0,27.35091219,28.1724809,27.34405316,0,26.72204974,27.62149031,27.06800467,0
Glyma.02G220700.1_S235_1,Control,24.61912981,24.20262307,24.56973096,24.62669626,24.55419079,24.30325039,24.22172051,24.36161622,24.43134714,24.45879137,24.998062,24.54795369,24.67912832,24.49739466,24.44913753,24.70894883,24.29535235,24.33377898,23.92644842,24.76188269,24.86610576,24.69989536,24.69313452,24.88908585,24.57876847,24.39918562,25.17593249,24.26019491,24.70520433,24.53609524,24.34225403,24.28404395,24.57592293,24.70788996,24.31534492,24.48438249,24.42636341,24.55698147,24.35091589,24.76732603,24.39587969,24.46460289,24.47412005,24.9794052
Glyma.02G222400.1_T21_1,Control,22.36333149,22.60786909,22.17162567,23.97424583,21.96985792,22.83847569,22.30066517,23.71300897,0,21.76366173,22.83257522,23.87917176,22.56444971,0,22.64735216,24.15401749,23.00471966,23.14499792,21.2657756,23.80710521,21.91629805,22.33351513,22.29246834,24.39001387,22.94844844,23.73567873,22.17998712,23.72580965,22.49896213,0,21.94045895,23.63380177,23.13672591,22.07540544,23.01997621,23.92027523,22.29586966,21.81984713,22.42754766,21.21990409,23.38452182,21.61845643,22.96844511,24.4204761
Glyma.02G228700.1_S265_1,Control,26.38325848,25.80816568,25.49413268,26.11778322,25.97178238,25.44779866,25.05344066,26.15051543,25.28051086,25.31210425,24.71903059,26.40290992,25.53357409,25.3332254,24.84242718,25.85197835,25.3677164,25.17490859,25.73080488,25.11332314,24.954654,24.34330116,24.34191756,24.74465073,25.02885227,24.92431169,24.31874786,24.8824944,25.24995315,25.02881874,24.97774512,24.79202452,25.30566622,24.50941416,23.61160343,24.76392674,24.3516482,24.60178968,23.83149862,24.27129338,25.89361344,25.24246921,25.24021281,26.26520739
Glyma.02G251100.1_S77_1,Control,27.9650668,27.28914549,26.97499278,27.21191519,26.68266862,25.90292957,26.38905417,26.68977196,26.08483623,25.65855442,26.20412695,26.43959435,25.80570729,25.86209803,25.88959184,26.49816733,25.77316049,25.58351099,25.75623804,26.17245416,25.56509495,25.87558419,25.59863194,26.1087207,25.80720536,25.35871092,25.7800673,25.61781319,25.87202871,25.90132374,26.12603688,25.54945128,26.01733078,25.44915922,25.59718385,25.54281906,25.16249033,25.34431192,25.67808339,25.30042232,26.54487623,26.82032913,26.60670138,26.67205857
Glyma.02G295100.1_S573_2,Control,23.8893389,24.2553223,23.7837295,23.4364408,24.09629548,23.94712748,24.30031751,23.68055547,23.88277705,23.91466809,24.65624156,24.21268376,24.11000441,24.40198272,23.81931658,23.90355944,24.05705262,24.72690823,24.15430183,23.72827419,24.01332108,24.1527576,24.37355739,24.05676616,23.93116565,24.35454256,24.93255543,24.47657725,24.06903428,23.90244565,24.20337606,23.93281285,24.37898722,24.53174992,23.64717655,24.16753232,23.78362812,23.90666551,23.92827661,24.2060971,24.35973989,24.77469126,24.71173111,24.25488807
Glyma.02G295100.1_S581_1,Control,25.81320594,25.64411692,25.19085313,25.62464832,25.57521686,25.3271166,25.42566728,26.12905875,25.60856708,25.17858905,25.51715805,26.46089469,25.76851221,25.93546501,25.25987697,26.1710728,25.51498242,26.10464991,25.57718713,25.75406376,25.55029733,25.53547653,25.76060057,26.27913127,25.60036895,25.50437912,25.64288416,26.19734434,25.61860094,25.09673136,25.62085213,25.65294255,25.86411909,25.59590159,25.10989953,25.57866426,25.6348507,25.30662881,25.35395554,25.97565639,25.85608765,25.8364268,25.89262939,26.00802235
Glyma.02G295100.1_S581_2,Control,23.8893389,24.2553223,23.7837295,23.4364408,24.09629548,23.94712748,24.30031751,23.68055547,23.88277705,23.91466809,24.65624156,24.21268376,24.11000441,24.40198272,23.81931658,23.90355944,24.05705262,24.72690823,24.15430183,23.72827419,24.01332108,24.1527576,24.37355739,24.05676616,23.93116565,24.35454256,24.93255543,24.47657725,24.06903428,23.90244565,24.20337606,23.93281285,24.37898722,24.53174992,23.64717655,24.16753232,23.78362812,23.90666551,23.92827661,24.2060971,24.35973989,24.77469126,24.71173111,24.25488807
Glyma.02G311300.1_S590_2,Control,23.51422901,24.98289641,25.10585601,0,23.48820311,24.64359947,25.26659384,0,24.81525812,24.71553291,25.49909979,0,23.52011235,24.80437035,24.93208684,0,23.88612381,24.6210131,24.06787416,0,23.74200494,25.08476814,25.91903572,0,23.89622445,25.07712835,26.19328445,0,23.63083044,25.0082738,24.97404057,0,24.07943801,25.26734134,25.03524046,0,24.35534887,25.25051266,25.42930672,0,23.82539324,24.94431597,25.10732245,0
Glyma.02G311300.1_S596_1,Control,23.90588862,24.60956505,25.22077537,0,23.81688818,24.83098115,25.12665154,0,24.63179666,23.80219336,24.97257146,0,23.8359903,24.21539423,24.88959184,0,23.39072973,24.4472331,24.25593203,0,23.50960179,24.77025046,25.19918793,0,23.68183423,24.93153399,25.28533936,0,23.3472844,24.79557045,25.18457796,0,24.40725132,24.54219188,25.3332489,0,24.43097239,24.50378269,25.11261961,0,23.64316034,24.14391018,24.90483092,0
Glyma.02G311300.1_S596_2,Control,23.51422901,24.98289641,25.10585601,0,23.48820311,24.64359947,25.26659384,0,24.81525812,24.71553291,25.49909979,0,23.52011235,24.80437035,24.93208684,0,23.88612381,24.6210131,24.06787416,0,23.74200494,25.08476814,25.91903572,0,23.89622445,25.07712835,26.19328445,0,23.63083044,25.0082738,24.97404057,0,24.07943801,25.26734134,25.03524046,0,24.35534887,25.25051266,25.42930672,0,23.82539324,24.94431597,25.10732245,0
Glyma.03G004800.1_S201_1,Control,22.8909689,22.46792845,21.84055584,21.93060914,22.62109405,22.16799527,22.26651855,22.54898917,22.01409248,22.60034183,21.90257578,22.3620246,23.01228921,22.08058427,22.22622568,0,23.03196836,22.4855413,22.42044926,22.33228678,22.36339167,22.48219808,22.39833426,22.31791295,22.64718642,22.58372867,0,22.90870802,22.61868517,22.44277184,22.13478377,22.58093002,22.02175025,22.15048863,22.30474862,22.54949691,22.56754624,22.81485268,22.05058181,18.6141595,22.56839257,21.63936901,22.00103536,22.18554584
Glyma.03G032100.1_S144_2,Control,0,24.71071799,0,0,0,0,0,0,0,0,0,0,0,23.83956895,0,0,23.85363698,0,0,0,0,0,24.89956515,0,0,0,25.33102305,0,23.70210724,0,0,0,23.68685651,23.71009857,22.52248914,0,0,0,21.14850285,0,0,24.64736772,0,0
Glyma.03G068700.1_S13_1,Control,25.79610157,26.36110262,26.47459751,26.29389865,25.6797852,26.0607838,26.6520257,25.96450782,26.23422336,26.09033403,26.65815107,26.81551153,25.70674881,26.13560709,26.09277997,26.20434106,26.19861401,25.83525223,24.85453328,26.03035267,25.69057762,26.26537816,26.28115,26.33149509,25.81022269,26.33601685,26.24600965,25.90364537,26.0096864,26.40047614,26.01836204,26.01965183,26.39396082,26.61562233,26.03691547,25.75866732,0,26.38925213,26.18668973,26.04715716,26.03490099,26.25553953,26.67239714,25.83927851
Glyma.03G102500.1_S270_1,Control,21.85987534,20.96656226,21.41974909,0,22.1636704,21.70530645,22.21900655,0,22.19606189,22.04123211,22.2067206,0,21.91051841,21.67851514,22.13072562,0,22.04586185,22.30793575,22.0153985,0,22.81743064,21.87819732,21.93890264,0,22.19460317,22.1256073,22.47703051,0,22.1220969,21.80134883,22.43130996,0,22.20157706,21.89676867,22.8322911,0,22.36623817,21.97329768,21.79508178,0,22.09767627,21.87979564,21.65116707,0
Glyma.03G121000.1_S133_1,Control,25.96498146,26.0168888,26.14208425,0,25.57562513,25.58731313,26.05722443,0,25.89056434,25.464127,26.49409511,0,25.86422375,25.34379849,25.68710402,0,26.06460434,25.27696806,25.05007752,0,25.75680464,26.07004836,25.85849159,0,25.68229841,26.19445923,26.64906231,0,25.87188737,25.93790939,25.67046266,0,25.68929791,26.08195897,25.47087417,0,25.65149096,26.43704132,26.01270732,0,25.64778385,25.42515227,26.29151922,0
Glyma.03G127300.1_S717_1,Control,0,21.36293903,0,0,20.40657833,0,0,0,20.49416774,20.41669734,19.92331148,0,20.36330925,21.65591224,22.84977684,0,0,18.06741035,0,0,0,0,0,0,0,0,0,19.99922718,0,20.59802926,0,0,0,20.99705208,21.59184409,20.84833868,0,0,0,20.91463037,0,0,0,0
Glyma.03G157900.1_S440_1,Control,24.04391799,22.59791669,22.50491854,24.42551471,23.92852002,22.83952445,21.27233879,24.62340186,23.75910369,23.08791286,22.19827412,24.98258535,24.14656301,23.34283297,23.25079567,24.78794922,23.99825395,22.61444933,22.86337068,24.22969473,23.97635725,23.41965626,22.6287657,24.22491415,23.59540062,23.41919605,22.59120667,23.97106245,23.93163678,23.34261784,22.49157995,23.89210285,23.94900504,23.7942937,22.24815416,23.61649042,23.14154591,22.5673898,22.85709072,24.00308264,24.07792025,23.35086104,22.99204045,24.54571253
Glyma.03G167100.1_S269_1,Control,28.14081171,27.96769089,27.60014003,27.19696645,27.70401914,27.07177249,27.17383804,27.01380638,27.49601804,26.65860594,27.6535376,27.60789046,28.21864785,26.53333781,26.99900451,27.26448494,28.10769442,26.70591569,27.37415749,27.33546462,27.12108927,27.27987233,26.50578831,27.21195854,28.19081428,27.10404332,27.0915063,27.18202283,27.87858562,27.22105428,26.72505104,26.94101245,27.82456452,27.31632905,26.70119531,27.11030271,27.88816138,26.50802585,27.0193756,27.29134567,27.77960924,27.31237734,27.46476572,27.16077059
Glyma.03G215200.1_S775_1,Control,22.38587887,21.06987904,21.66267035,22.32704507,22.12545458,21.7007256,21.29479722,21.74315496,0,21.21435492,21.12147248,22.40604672,22.2847697,21.33437503,21.96312134,22.32259342,21.82563743,21.73967923,21.87463217,22.31663815,22.61684747,21.28398996,21.17752006,21.95784215,21.99663415,21.42465484,21.19188504,22.01257449,21.89502259,21.04854654,21.33552358,22.05419383,21.96748223,21.23383597,21.78495289,22.10929994,21.62463444,21.40137941,20.96569746,21.68795079,21.79349995,21.25492071,20.64544179,21.90299132
Glyma.03G259500.1_S47_2,Control,0,0,0,0,23.74619768,23.3656879,23.4146833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.46662236,0,0,0,23.22796934,0,0,0,0,24.06432483,0,0,0,0,0,0,24.27983137,0,0,0
Glyma.03G264600.1_T434_1,Control,22.54421249,23.7426186,23.75613775,23.72621552,23.51688791,24.30643017,23.83696055,23.23275441,24.25941074,24.49136187,24.26542233,23.66988333,23.78462983,24.21684042,23.92362988,23.56587819,23.82063816,24.27728105,23.52783179,23.88846803,23.79126977,24.48431347,24.06668665,24.1019364,23.83027764,24.56441475,24.22603421,23.79200142,23.60231942,24.31723933,24.11613025,23.66370667,23.51649511,24.56655675,23.87762681,23.63956385,23.52920907,24.29417713,23.692173,24.21551242,23.29437846,23.42319843,23.69658457,22.55910831
Glyma.04G021900.1_S465_1,Control,23.77186162,24.52680762,24.07762447,24.58355853,23.84807202,24.43102446,23.2013835,25.02664785,0,24.63985086,24.44807657,24.32710192,24.24724639,24.57697256,0,24.63645589,23.91956186,0,23.86804431,24.68143025,23.42885561,24.50648586,24.33181298,25.09833722,23.99299345,24.70959796,24.3200666,24.38477828,0,24.69192324,24.6285456,24.51727034,24.4203272,24.50624031,24.68560007,24.52224703,24.08528823,24.61387292,24.38719832,24.86898124,23.9882385,24.6198586,24.108981,24.17488462
Glyma.04G061700.1_S310_1,Control,24.84953269,25.25960201,25.41793128,25.45955172,24.89606657,25.34141568,25.66452116,25.26954163,0,25.28883678,26.39715506,26.19849619,25.19339645,25.5390094,25.02292114,25.15533266,24.80664284,25.56126401,25.18757575,25.75664945,24.73702006,25.70386212,25.34098779,25.47765166,25.04361203,25.60984403,26.26722993,25.21083259,24.80852266,25.52499009,25.22558476,24.98928089,24.83105432,25.40263482,25.48579717,25.13693853,24.93864156,25.62890171,25.17826877,25.54604194,24.9166671,25.36688566,25.73525222,25.55746961
Glyma.04G104900.1_T1032_1,Control,25.17178127,26.64560231,27.10944089,25.34921824,25.61349543,27.47145866,27.40392624,26.09735803,27.94492837,27.47487597,27.15209124,24.94530456,25.80346045,27.21343353,27.5244265,25.15525533,25.8012069,27.15382241,26.7148008,26.32760917,27.03505892,26.33025894,28.02045655,26.62428942,27.30525695,27.37424683,28.25534541,27.65295511,25.876051,26.64980821,27.1902743,27.01550716,26.43777528,27.27948949,28.54255488,27.05396977,26.44141871,25.70662423,28.1744267,26.86646314,25.10055669,27.83608734,27.0050404,25.64378922
